,world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year,Location,lat,lng
0,4,University of Cambridge,United Kingdom,1,10,24,4,16,16,11,,50,86.17,2012,"University of Cambridge, United Kingdom",52.2042666,0.1149085
1,7,University of Oxford,United Kingdom,2,13,28,9,15,13,19,,26,82.34,2012,"University of Oxford, United Kingdom",51.7548164,-1.2543668
2,28,Imperial College London,United Kingdom,3,84,73,35,26,26,29,,41,57.53,2012,"Imperial College London, United Kingdom",51.49879970000001,-0.1748772
3,31,University College London,United Kingdom,4,35,101,45,27,23,33,,86,55.21,2012,"University College London, United Kingdom",51.52455920000001,-0.1340401
4,60,University of Edinburgh,United Kingdom,1,71,101,43,64,41,70,,101,48.43,2012,"University of Edinburgh, United Kingdom",55.9445158,-3.1892413
5,76,University of Manchester,United Kingdom,5,101,101,75,52,70,63,,101,46.38,2012,"University of Manchester, United Kingdom",53.4668498,-2.2338837
6,97,University of Nottingham,United Kingdom,6,101,101,87,101,101,101,,92,43.79,2012,"University of Nottingham, United Kingdom",52.938636,-1.1951582
7,98,University of Bristol,United Kingdom,7,101,101,78,75,81,86,,101,43.77,2012,"University of Bristol, United Kingdom",51.4584172,-2.6029792
8,3,University of Oxford,United Kingdom,1,7,12,10,11,7,13,,15,92.54,2013,"University of Oxford, United Kingdom",51.7548164,-1.2543668
9,5,University of Cambridge,United Kingdom,2,3,15,5,9,11,10,,39,90.24,2013,"University of Cambridge, United Kingdom",52.2042666,0.1149085
10,27,Imperial College London,United Kingdom,3,101,92,35,17,22,19,,48,56.75,2013,"Imperial College London, United Kingdom",51.49879970000001,-0.1748772
11,30,University College London,United Kingdom,4,24,101,49,12,16,21,,73,56.0,2013,"University College London, United Kingdom",51.52455920000001,-0.1340401
12,45,University of Edinburgh,United Kingdom,5,47,101,45,52,36,63,,101,50.98,2013,"University of Edinburgh, United Kingdom",55.9445158,-3.1892413
13,72,University of Manchester,United Kingdom,6,101,101,76,47,63,57,,101,46.85,2013,"University of Manchester, United Kingdom",53.4668498,-2.2338837
14,75,King's College London,United Kingdom,7,41,101,101,45,45,44,,101,46.53,2013,"King's College London, United Kingdom",51.5114864,-0.115997
15,4,University of Cambridge,United Kingdom,1,2,10,5,10,9,12,13.0,48,97.64,2014,"University of Cambridge, United Kingdom",52.2042666,0.1149085
16,5,University of Oxford,United Kingdom,2,7,12,10,11,12,11,12.0,16,97.51,2014,"University of Oxford, United Kingdom",51.7548164,-1.2543668
17,30,University College London,United Kingdom,3,20,406,52,13,22,18,21.0,121,61.05,2014,"University College London, United Kingdom",51.52455920000001,-0.1340401
18,39,Imperial College London,United Kingdom,4,121,98,38,20,27,31,17.0,34,58.85,2014,"Imperial College London, United Kingdom",51.49879970000001,-0.1748772
19,56,University of Edinburgh,United Kingdom,5,42,131,36,54,42,55,46.0,307,55.2,2014,"University of Edinburgh, United Kingdom",55.9445158,-3.1892413
20,69,University of Manchester,United Kingdom,6,98,73,74,41,68,43,59.0,94,53.9,2014,"University of Manchester, United Kingdom",53.4668498,-2.2338837
21,90,King's College London,United Kingdom,7,28,173,114,84,132,87,77.0,181,52.31,2014,"King's College London, United Kingdom",51.5114864,-0.115997
22,123,University of Bristol,United Kingdom,8,177,242,76,87,69,99,110.0,338,49.97,2014,"University of Bristol, United Kingdom",51.4584172,-2.6029792
23,137,University of Glasgow,United Kingdom,9,219,112,210,118,131,87,92.0,280,49.64,2014,"University of Glasgow, United Kingdom",55.87212109999999,-4.288200499999999
24,142,University of Birmingham,United Kingdom,10,58,119,198,116,160,150,135.0,204,49.48,2014,"University of Birmingham, United Kingdom",52.4508168,-1.9305135
25,146,University of Southampton,United Kingdom,11,315,81,210,115,129,107,129.0,259,49.42,2014,"University of Southampton, United Kingdom",50.9614912,-1.4252228
26,147,University of Nottingham,United Kingdom,12,128,148,85,113,174,150,135.0,159,49.41,2014,"University of Nottingham, United Kingdom",52.938636,-1.1951582
27,151,University of Leeds,United Kingdom,13,84,93,210,132,134,134,151.0,280,49.23,2014,"University of Leeds, United Kingdom",53.8066815,-1.5550328
